s,en,vi,Cn,kor,es,ja
tutorial,tutorial,Hướng dẫn,教程,두도리오,Tutorial,チュートリアル
discord,discord,Discord,不和谐,불화,Discord,不和
help,help,Giúp đỡ,救命,헬프,Ayuda,ヘルプ
oops_500,"Oops, something went wrong!","Oops, có vấn đề",哎呦，出事了！,웁스! 문제가 발생했습니다!,"Ups, algo anduvo mal!",おっと！何かが間違っていた！
oops_500_title,An unexpected error occurred,Trang web gặp vấn đề chưa xác định,发生了一个意料之外的问题,예상치 못한 오류가 발생했습니다,Ha ocurrido un error inesperado,予期しないエラーが発生しました
retry,Retry,Thử lại,重试,재시도,Reintentar,リトライ
home,Home,Trang chủ,首页,홈,Inicio,ホームホーム
cancel,Cancel,Huỷ,取消,취소,Cancelar,キャンセル
confirm,Confirm,Xác nhận,确定,확인,Confirmar,確認
share,Share,Chia sẻ,分享,공유하기,Compartir,シェア
copied,Copied,Đã copy,已复制,복사,Copiado,コピー
copy,Copy,Copy,复制,복사하기,copiar,コピー
oops,Oops!,Oops!,哎呦！,웁스!,Ups!,おっとっと！
oops_notsupported,You are currently not connected to Ethereum Mainnet. Please switch to a supported chain.,Hiện tại chúng tôi chưa được kết nối với Etherum Mainnet. Hãy đổi sang một chuỗi được hỗ trợ khác,我们目前没有连接到以太坊主网。 请更改为另一个受支持的线程,현재 이더리움 메인넷에 연결되어 있지 않습니다. 지원되는 체인으로 전환하십시오.,Actualmente no estamos conectados con la red principal de Ethereum. Por favor cambie su red actual por una compatible con nuestra página,現在、イーサリアムメインネットに接続していません。 サポートされているチェーンに切り替えてください。
oops_intro,Please install a wallet to view the content of this page.,Hãy thêm ví để xem nội dung trang này,请安装钱包以查看此页面的内容。,이 페이지의 내용을 보려면 월렛을 설치하십시오.,Por favor instale una billetera para ver el contenido de esta pagina,このページのコンテンツを表示するには、ウォレットをインストールしてください。
install_walletconnect,Install WalletConnect,Cài WalletConnect,安装,월렛커넥트 설치,Instale WalletConnect,ウォレットコネクトをインストールします
install_metamask,Install MetaMask,Cài MetaMask,安装小狐狸钱包,메타마스크 설치,Instale MetaMask,メタマスクをインストールする
error404_title,Page not found!,Không tìm thấy trang!,页面未找到,페이지를 찾을 수 없습니다!,Pagina no encontrada!,ページが見つかりません！
error404_lead,The page that you are looking for does not exist.,Đường dẫn bạn đang truy cập không tồn tại.,您访问的路径不存在,찾고 있는 페이지가 존재하지 않습니다.,La pagina que esta buscando no existe,お探しのページがありません。
go_back,Go back,Quay lại,,돌아가기,Vuelve atras,戻る
bcmc_faucet,BCMC Faucet,Nhận BCMC,领取BCMC,,Faucet de BCMC,BCMC蛇口
claim_test_coins,Claim test tokens,Nhận test tokens,领取公测代币,테스트 토큰 청구,Reclame los tokens de prueba,テストトークンを要求する
checkout_faucet_guide,Take a look at <linkGuide> our Medium guide </linkGuide> on how to claim {{tokenName}} tokens from the official testnet faucet.,Take a look at <linkGuide> our guide </linkGuide> to understand how to claim other native tokens from their official testnet faucets.,查看 <linkGuide> 我们的指南 </linkGuide> 以了解如何从他们的官方测试网水龙头中声明其他原生代币。,공식 테스트넷 수도꼭지에서 다른 기본 토큰을 청구하는 방법을 이해하려면 <linkGuide> 가이드 </linkGuide>를 살펴보십시오.,Heche un vistazo a nuestra guía para entender como reclamar otros tokens nativos de nuestra faucet de prueba oficial,公式のテストネットの蛇口から{{トークン名}}トークンを要求する方法については、<リンクガイド>中規模ガイド</ リンクガイド>をご覧ください。
claim_bcmc_limit,You can claim a maximum of {{maximumAmount}} BCMC per account.,You can claim a maximum of {{maximumAmount}} BCMC per account every 24 hours.,您每 24 小时最多可以为每个账户申领 {{maximumAmount}} BCMC。,24시간마다 계정당 최대 {{maximumAmount}} BCMC를 청구할 수 있습니다.,Podes reclamar un máximo de {{maximumAmount}}BCMC por cuenta,アカウントごとに最大{{最大金額}} BCMCを請求できます。
bcmc_claim_already,You can only claim testnet BCMC once per account.,You can only claim testnet BCMC once per account.,每个账户只能申领一次测试网 BCMC。,testnet BCMC는 계정당 한 번만 신청할 수 있습니다.,Podes reclamar tokens de prueba BCMC por única vez,テストネット BCMCを請求できるのは、アカウントごとに1回のみです。
claim,Claim,Nhận,领取,청구하기,Reclamar,請求
claim_success_lead,You have successfully claimed Test BCMC. Please check out the transaction below.,Bạn đã nhận thành công Test BCMC. Vui lòng kiểm tra giao dịch dưới đây.,您已成功接受 BCMC 测试。 请查看下面的交易。,BCMC 테스트를 성공적으로 받았습니다.  아래 거래내역을 확인해주세요.,Haz reclamado los tokens de BCMC de prueba con exito. Por favor revisa los resultados de la transacción abajo,テストBCMCを正常に要求しました。 以下の取引をチェックアウトしてください。
claim_pending_txn_lead,You have a pending transaction to claim Test BCMC. Please wait for it to finish before proceeding.,Bạn có một giao dịch BCMC đang chờ kết quả. Vui lòng chờ giao dịch này hoàn thành trước.,您有一个 BCMC 交易未决结果。 请先等待此交易完成。,BCMC 트랜잭션 보류 결과가 있습니다.  이 거래가 먼저 완료될 때까지 기다리십시오.,"Tenes una transacción pendiente para reclamar los tokens de prueba BCMC. Por favor, espera a que esta transacción pendiente finalize",テストBCMCを請求するための保留中のトランザクションがあります。 最初に終了するまでお待ちください。
transaction_hash,Transaction Hash,Transaction hash,,트랜잭션 해쉬,Hash de transacción,トランザクションハッシュ
back_to_home,Back to Home,Quay lại Trang chủ,返回首页,홈으로 가기,De vuelta a casa,ホームに戻る
make_another_transaction,Make Another Transaction,Thực hiện giao dịch khác,,다른 거래를 하십시오,Hacer otra transacción,別のトランザクションを作成する
filter,Filter,Bộ lọc,筛选,필터,Filtro,フィルター
type_of_monster,Type of Monster,Hệ Quái vật,,몬스티의 종류,Tipo de monstruo,モンスターの種類
rarity,Rarity,Độ hiếm,稀有度,레리티,Rareza,レアリティ
rarity_plural,Rarities,Độ hiếm,稀有度,레리티,Rarezas,レアリティ
reset,Reset,Reset,重置,초기화,Resetear,リセット
apply,Apply,Áp dụng,使用,적용하기,Aplicar,申し込み
sort,Sort,Sắp xếp,分类,분류하기,Clasificar,ソート
genus,Genus,Genus,属,제너스,Genérico,属
monster_type,Monster type,Hệ Quái vật,怪物类型,몬스티의 종류,Tipo de monstruo,モンスタータイプ
hide_types,Hide types,Đóng,隐藏类型,숨기기 유형,Ocultar tipos,タイプを非表示
hide_chains,Hide chains,Đóng,,,Ocultar reds,
show_all,Show all,Hiện tất cả,显示所有,모두 표시,Mostrar todos,すべて表示する
hide_rarities,Hide rarities,Đóng,隐藏稀有度,레리티 숨기기,Ocultar rarezas,希少性を隠す
apply_filte,Apply Filter,Áp dụng bộ lọc,应用筛选,필터 적용하기,Aplicar filtro,フィルタを適用する
portfolio_h1,Portfolio,Danh mục quái,公文包,포트폴리오,Portafolio,ポートフォリオ
marketplace_h1,Marketplace,Chợ,市场,마켓플레이스,mercado,マーケットプレイス
encyclopedia,Encyclopedia,Bách khoa,大英百科全书,백과사전,Enciclopedia,百科事典
portfolio_intro,Manage your Monsters here.,Quản lý danh mục quái vật của bạn,在这里管理你的怪物。,여기에서 몬스터를 관리하십시오,Administra tus monstruos acá,ここでモンスターを管理します。
buy_now_intro,Buy or sell Monsters here.,Mua hoặc bán Quái vật,买卖怪物,여기에서 몬스터를 사고팔 수 있습니다,Compra o vende monstruos acá,ここでモンスターを売買します。
encyclopedia_intro,All monsters,Toàn bộ Quái vật,所有怪物,모든 몬스타,Todos los monstruos,すべてのモンスター
metaverse,Multiverse,Đa vũ trụ,,메타버스,Multiverso,マルチバース
portfolio,Portfolio,Danh mục,公文包,포트폴리오,Portafolio,ポートフォリオ
marketplace,Marketplace,Chợ,市场,마켓플레이스,Mercado,マーケットプレイス
bridge,Bridge,Bridge,桥,브리지,Puente,ブリッジ
staking,Staking,Staking,质押,스테이킹,Staking,ステーキング
vip_tier,VIP Tier,Hạng VIP,VIP,VIP티어,Nivel de Rango,VIP層
faucet,Faucet,Faucet,龙头,스테이킹,Faucet de BCMC,蛇口
leaderboard_heading,Leaderboard,Bảng rank,排行榜,리더보드,Clasificacion,リーダーボード
player,Player,Người chơi,玩家,플레이여,Jugador,プレーヤー
monster,Monster,Quái vật,怪物,몬스타,Monstruo,モンスター
monster_plural,Monsters,Quái vật,怪物,몬스타,Monstruos,モンスター
energy_title,Energy Swap,Đổi Energy,能量交换,에너지 교환,Conversion de energia,エネルギースワップ
energy_lead,Convert your Energy to BCMC or vice-versa,Đổi Energy qua BCMC và ngược lại,将能量转换为 BCMC，反之亦然,에너지를 BCMC로 또는 그 반대로 변환,Convierte tu Energia en BCMC o viceversa,エネルギーをBCMCに、またはその逆に変換します。
swap,,Swap,交换,교환,Convertir,交換
history,History,Lịch sử,历史,역사,Historial,履歴
universe_title,Blockchain Multiverse,Blockchain Multiverse,区块链多元宇宙,블록체인 메타버스,Multiverso del Blockchain,ブロックチェーンマルチバース
universe_lead,Select Monsters and battle against players around the world to earn exciting rewards.,"Chọn đội quái vật, chiến đấu với người chơi toàn thế giới và kiếm những phần thưởng hấp dẫn.",选择一队怪物，与来自世界各地的玩家战斗，并获得令人兴奋的奖励。,몬스터를 선택하고 전 세계의 플레이어와 전투하여 흥미진진한 보상을 받으십시오,Selecciona tus monstruos y batalla contra otros jugadores alrededor del mundo para obtener jugosas recompensas,モンスターを選択し、世界中のプレイヤーと戦い、エキサイティングな報酬を獲得してください。
how_to_play,How to Play,Cách chơi,游戏规则,하우두플레이,Como jugar,遊び方
info,Info,Thông tin,信息,정부,Información,情報
buy_monster,Buy Monster,Mua quái vật,购买鬼屋,몬스타 구매하기,Comprar monstruo,モンスターを買う
sold,Sold,Đã bán,已卖,판매 된,Vender,販売済み
bought_by,Bought by,Được mua bởi,购买者,구입자,Comprado por,購入者
seller,Seller,Người bán,卖房,판매자,Vendedor,売り手
expires_in,Expires in,Hết hạn vào,过期日期,만료,Expira en,有効期限
other_people_buying,<boldWord>Warning:</boldWord> {{pendingBuyCount}} other people are trying to buy this item,<boldWord> Cảnh báo: </boldWord> {{pendingBuyCount}} người khác đang cố mua mặt hàng này,<boldWord>警告：</boldWord> {{pendingBuyCount}} 其他人正在尝试购买此商品,<boldWord>경고:</boldWord> {{pendingBuyCount}}명의 다른 사람들이 이 항목을 구매하려고 합니다.,<boldWord>Warning:</boldWord> {{pendingBuyCount}}  Otras personas estan intentando comprar este item,<boldWord>警告：</ boldWord> {{pendingBuyCount}}他の人がこのアイテムを購入しようとしています
get_bcmc,Get BCMC,Nhận BCMC,获取 BCMC,BCMC 받기,Obtene BCMC,BCMCを入手
pending,Pending,Đang xử lý,在等待,보류 중,Pendiente,保留中
buy_now,Buy Now,Mua ngay,立买,바로 구매,Comprar ahora,今すぐ購入
sell_monster,Sell Monster,Bán,卖怪物,몬스타 판매,Vender monstruo,モンスターを売る
lvl,LV,Level,等级,레벨,Nivel de Rango,LV
please_check_price_carefully,Please check the price carefully before confirmation.,Vui lòng kiểm tra giá cẩn thận trước khi bán.,确认前请仔细核对价格。,확인하기 전에 가격을 잘 확인하십시오.,Por favor checkea el precio atentamente antes de confirmar,確認前に価格をよくご確認ください。
general_info,General Info,Thông tin chung,基本信息,일반정보,Información general,一般的な情報
on_sale,On Sale,Đang bán,出售,온 세일,En venta,発売中
sell,Sell,Bán,卖,판매,Vender,売る
submit,Submit,Đăng,提交,체출,Entregado,送信
transfer_monster,Transfer Monster,Chuyển quái,转移怪物,트랜스퍼 몬스터,Transferir monstruo,トランスファーモンスター
remove_listing,Remove listing,Xoá,删除列表,목록 삭제,Remover de la lista,リストを削除する
catch,Catch,Bắt,抓住,잡기,Atrapar,キャッチ
battle,Battle,Đánh,战斗,베틀,Batalla,戦い
buy,Buy,Mua,买,구매하기,Comprar,買う
portal,Bridge,Bridge,桥,브리지,Puente,橋
unknown,Unknown,Không rõ,未知,알려지지 않음,Desconocido,不明
failed,Failed,Thất bại,失败,실패,Fallido,失敗した
win,Win,Thắng,赢,승리,Ganar,勝つ
loss,Lose,Thua,失去,패배,Perder,負ける
success,Success,Thành công,成功,성공,Éxito,成功
ported_out,Ported Out,Đã chuyển ra,搬出去,포트 아웃,Salida del puerto,移植
received,Received,Đã nhận,已收到,받음,Recibido,受け取った
sent,Sent,Đã gửi,发送,보냄,Enviado,送信済
menu,Menu,Menu,菜单,메뉴,Menu,メニュー
settings,Settings,Cài đặt,环境,설정,Configuracion,設定
tier_only,Tiers,hạng,班级,티어,Rangos,ティア
leader_board,Leaderboard,Bảng xếp hạng,图表,리더보드,Clasificacion,リーダーボード
players,Players,Người chơi,玩家,플레이여,Jugadores,プレイヤー
monsters,Monsters,Quái vật,怪物,몬스타,Monstruos,モンスター
search,Search,Tìm,寻找,찾기,Buscar,検索
set_price,Set Price,Đặt giá,定价,가격설정,Fijar precio,設定価格
enter_price,Enter Price,Điền giá,填写价格,가격 입력,Ingrese el precio,価格を入力してください
using_agree_tos,By using this feature you agree with our <linkTOS> Terms of Sale </linkTOS>,By using this feature you agree with our <linkTOS> Terms of Sales </linkTOS>,By using this feature you agree with our <linkTOS> Terms of Sales </linkTOS>,이 기능을 사용하면 <linkTOS> 판매 약관 </linkTOS> 에 동의하는 것입니다.,By using this feature you agree with our <linkTOS> Terms of Sales </linkTOS>,この機能を使用することにより、<linkTOS>販売条件</ linkTOS>に同意したことになります
set_expiry,Set Expiration,Đặt thời hạn,设定最后期限,만료 설정,,有効期限を設定する
select_option,Select Option,Chọn mục,选择物品,옵션 선택,Seleccionar opción,オプションを選択
please_select_an_option,Please select an option.,Hãy chọn một mục,请选择一个项目,옵션 하나 선택해 주십시오,Por favor seleccione una opción,オプションを選択してください。
estimated_fee,Estimated Fee,Phí ước tính,估计费用,예상 수수로,Comision estimada,推定料金
you_will_received,You will receive,Bạn sẽ nhận được,你会得到,당신은 받을 것이다,Usted recibirá,あなたが受け取る
transaction_history,Transaction History,Lịch sử giao dịch,交易记录,거래 역사,Historial de transaccion,取引履歴
quick_tip,Quick Tip,Mẹo nhanh,小建议,빠른 팁,Consejo rapido,簡単なヒント
quick_tip_info,"There are two (2) main factors that affect the price of your Monster: Rarity and Level. Please note that should you aim to sell it quickly, it's better to not set the price too high.","Có hai (2) điều chính ảnh hưởng đến giá Quái vật của bạn: Độ hiếm và Cấp độ. Xin lưu ý rằng nếu bạn muốn bán nó nhanh chóng, tốt hơn hết là đừng đặt giá quá cao.",影响怪物价格的主要因素有两个，稀有度和等级，注意如果你想快速卖出，最好不要出价太高。,몬스터의 가격에 영향을 미치는 두 가지 주요 요소가 있습니다: 희귀도와 레벨. 빠른 매도를 목표로 한다면 가격을 너무 높게 설정하지 않는 것이 좋습니다.,Hay dos factores (2) que afectan el precio del monstruo: su tipo de rareza y nivel. Por favor tome nota de que debe apuntar a venderlo rápido para no fijar el precio tan alto,モンスターの価格に影響を与える主なものは、レア度とレベルの2つです。 早く売ろうと思ったら、値段を高く設定しすぎない方がいいので注意してください。
idle,Idle,rảnh tay / nhàn rỗi,免提,이상,Inactivo,アイドル
in_multiverse,In Multiverse,trong multiverse,在多元宇宙中,메타버스에 있습니다,En el multiverso,多元宇宙で
pending_exit,Pending Exit,Chờ thoát,等待退出,보류 종료,Salida pendiente,保留中の終了
pending_confirmation,Pending Confirmation,Chờ xác nhận,等待确认,보류 확인,Confirmación pendiente,保留中の確認
status,,trạng thái,地位,상태,estado,状況
connect_wallet,Connect Wallet,kết nối ví,连接钱包,월렛 연결,Conectá tu billetera,ウォレットを接続する
select_chain,Select Chain,Chọn chuỗi,选择字符串,체인 선택,Seleccionar red,チェーンを選択
select_theme,Select Theme,Chọn chủ đề,选择主题,테마 선택,Seleccionar tema,テーマを選択
select_language,Select Language,Chọn ngôn ngữ,选择语言,언어 선택,Seleccionar idioma,言語を選択する
updated_successfully,Updated Successfully!,Cập nhật thành công,更新成功,업데이트 성공,Actualización exitosa!,更新成功！
7_days,7 days,7 ngày,7天,7일,7 días,7日
earnings,Earnings,Thu nhập,收益,언닝스,Ganancias,収益
30_days,1 month,1 tháng,一月,1달,1 mes,1ヶ月
365_days,1 year,1 năm,一年,1년,1 año,1年
battles,Battles,Trận đấu,战斗,베틀,Batallas,バトル
battle_noun,Battle,Trận đấu,战斗,베틀,Batalla,バトル
battle_noun_plural,Battles,Trận đấu,战斗,베틀,Batallas,バトル
token_overview,My BCMC,BCMC của tôi,我的BCMC,나의 BCMC,Mis BCMC,私のBCMC
total_holding,Holding balance,Số dư hiện có,持有余额,잔액 보유,Balance,残高の保持
you_are_here,You Are Here,Bạn đang ở đây,你正在这,당신은 여기 있습니다,Usted está acá,あなたはここにいる
transfer,Transfer,Chuyển,转移,거래,Transferir,移行
amount,Amount,Lượng,数量,수량,Monto,額
source,Source,Nguồn,来源,원천,Fuente,ソース
transfer_description,Please ensure the correct <span>{{etherium}}</span> wallet address is used. Any loss incurred by the usage of incorrect crypto wallets is permanent. BCMH will not be held liable for any losses.,,请确保使用正确的 <span>{{ethereum}}</span> 钱包地址。 使用不正确的加密钱包所造成的任何损失都是永久性的。 BCMH不对任何损失承担责任。,올바른 <span>{{etherium}}</span> 지갑 주소가 사용되었는지 확인하세요. 잘못된 암호화폐 지갑 사용으로 인한 손실은 영구적입니다. BCMH는 손실에 대해 책임을 지지 않습니다.,Asegúrese de utilizar una dirección de billetera de <span> {{ethereum}} </span>. Cualquier pérdida debido a una billetera criptográfica incorrecta es permanente y no seremos responsables por ello.,正しい<span> {{etherium}} </ span>ウォレットアドレスが使用されていることを確認してください。 誤った暗号ウォレットの使用によって発生した損失は永続的です。 BCMHはいかなる損失に対しても責任を負いません。
to,To,Đến,至,에,Objetivo,宛先
enter_wallet_address,Enter Wallet Address,Điền địa chỉ ví,输入钱包地址,월렛 주소 입력,Ingrese la dirección de la billetera,ウォレットアドレスを入力してください
caught,Caught,Đã bắt,抓住,잡힘,Atrapado,つかまった
details,Details,Chi tiết,细节,세부 사항,Detalles,詳細
avg_seen_time,Avg. Seen Time,Thời gian xuất hiện trung bình,平均出场时间,평균 본 시간,Promedio del tiempo visto,平均 見た時間
battle_stats_range,Battle Stats Range,Phạm vi chỉ số chiến đấu,战斗统计范围,전투 통계 범위,Alcance de estadísticas de batalla,戦闘統計範囲
gemesis_monster,Genesis monster,Quái Genesis (Quái tổ tiên),创世怪物,제네시스 몬스타,Monstruo genético,ジェネシスモンスター
gemesis_monsters,Genesis monsters,Quái Genesis (Quái tổ tiên),创世怪物,제네시스 몬스타,Monstruos genético,ジェネシスモンスター
gemesis_monster_lead,Caption abount genesis monster,Chú thích về Quái Genesis,关于创世怪物的说明文字,제네시스 몬스타에 대한 설명,Cantidad de subtitulos en el monstruo genético,創世記モンスターのキャプション
search_result,Search result,Kết quả tìm kiếm,搜索结果,검색 결과,Resultados de búsqueda,検索結果
types,Types,Loại,类型,종류,Tipos,タイプ
types_lead,Caption what are types,Chú thích về loại,说明什么是类型,캡션 유형이란,Tipos de lider,キャプションタイプとは
wild_monster,Wild monster,Quái Wild (Quái hoang),野生怪物,야생 몬스타,Monstruo salvaje,野生の怪物
wild_monsters,Wild monsters,Quái Wild (Quái hoang),野生怪物,야생 몬스타,Monstruos salvaje,野生の怪物
wild_monster_lead,Caption about wild monster,Chú thích về Quái Wild,关于野怪的文字说明,야생 몬스타에 대한 설명,Cantidad de subtitulo en monstruo salvaje,キャプションは野生の怪物をあふれさせる
bcmh_to_energy_title,Please input the amount you want to convert,Điền lượng bạn muốn chuyển đổi,请输入您要兑换的金额,변환할 금액을 입력하십시오,Por favor ingrese la cantidad que quiera convertir,換算したい金額を入力してください
energy,,năng lượng,能量,에너지,Energia,
bcmh_to_energy_mention,Convert BCMC to Energy for immediate in-game usage,Chuyển đổi BCMC thành năng lượng cho các hoạt động trong game,将 BCMC 转换为 能量 以立即在游戏中使用,즉각적인 게임 내 사용을 위해 BCMC를 에너지로 변환,Convierte tus BCMC en Energia de forma inmediata para uso del juego,BCMCをエネルギーに変換して、ゲーム内ですぐに使用できるようにします
base_rate,Base rate,Tỉ lệ gốc,基准利率,기본료,Tasa básica,基準率
bcmh_to_energy_locking_period,Select a locking period to determine how much BCMC you will receive,Chọn chu kỳ khóa để xem lượng BCMC sẽ nhận được,选择锁定期以确定您将收到多少 BCMC,잠금 기간을 선택하여 얼마나 많은 BCMC를 받을지 결정하십시오.,Seleccione un período de bloqueo para determinar cuánto BCMC recibirá,ロック期間を選択して、受け取るBCMCの量を決定します
claimable,,Có thể nhận được,可以领取,청구 가능,Por reclamar,請求可能
locked,LOCKED,ĐÃ KHÓA,已锁,잠김,BLOQUEADA,ロック済み
claimable_on,Claimable on,Có thể nhận trên,可索赔,에 접수 가능,Reclamable en,請求可能日
no_transaction_yet,No transaction yet,Chưa có giao dịch nào.,还没有交易,거래 없음,No hay ninguna transacción todavia,まだ取引はありません
energy_intro,Please input the amount you want to convert.,Điền lượng bạn muốn chuyển đổi,请输入您要兑换的金额。,변환하고자 하는 금액을 입력해 주십시오,Por favor seleccione la cantidad que quiere convertir,換算したい金額を入力してください。
i_want_to_convert,I want to convert,Tôi muốn đổi,我想转换,제가 변환하고 싶습니다,Quiero convertir,変換したい
max,Max,Tối đa,最大限度,max,Máximo,マックス
energy_estimate,Estimated to receive,Ước tính sẽ nhận,预计收到,받을 예정,Energia a recibir estimada,受け取る見積もり
convert,Convert,Chuyển đổi,转换,전환,Convertir,変換
all,,Tất cả,一切,모두,Todo,
pending_txn_title,Pending Transaction,Giao dịch đang diễn ra,待处理交易,보류 중인 거래,Transaccion pendiente,保留中のトランザクション
energy_success_lead,Your energy has been successfully converted! Please wait for the funds to be reflected in your account.,Bạn đã chuyển năng lượng thành công. Hãy đợi số liệu hiển thị trên tài khoản,您的能量已成功转换！ 请等待资金反映在您的帐户中。,에너지가 성공적으로 변환되었습니다! 자금이 계정에 반영될 때까지 기다리십시오.,"Tu energia ha sido convertida de forma exitosa. Por favor, espete a que los fondos se reflejen en su cuenta",あなたのエネルギーはうまく変換されました！ 資金がアカウントに反映されるまでお待ちください。
enery_pending_txn_lead,You have a pending transaction to convert Energy. Please wait for it to finish before making another.,Bạn đang có một giao dịch chuyển đổi năng lượng đang diễn ra. Vui lòng chờ cho đến khi hoàn thành để thực hiện tiếp một giao dịch khác,您有一个待处理的交易来转换能源。 请先等待它完成，然后再制作另一个。,에너지 전환을 위해 보류 중인 거래가 있습니다. 다른 것을 만들기 전에 먼저 완료될 때까지 기다려 주세요.,"Usted tiene una transaccion pendiente de energia a convertir. Por favor, espere a que esta finalize primero antes de realizar una nueva transacción",エネルギーを変換するための保留中のトランザクションがあります。 最初に終了するのを待ってから、別のものを作成してください。
open_beta,Testnet,Testnet,测试网,테스트넷,Red de prueba,テストネット
open_beta_intro,You are playing the pre-release version of the game. Please report any bugs/feedback to us via,Bạn đang chơi bản thử nghiệm của trò chơi.Vui lòng báo cáo lại các lỗi thông qua,您正在玩游戏的预发布版本。 请通过以下方式向我们报告任何错误/反馈,당신은 게임의 시험판 버전을 플레이하고 있습니다. 다음을 통해 버그/피드백을 보고해 주십시오.,Usted esta jugando la version beta del juego. Por favor reporte cualquier bug/comentario a nosotros via,ゲームのプレリリースバージョンをプレイしています。 バグ/フィードバックを介して私たちに報告してください
session,Session,Phiên,会议,세션,Sesión,セッション
performance,Performance,Hiệu suất hoạt động,表现,성능,Performance,パフォーマンス
payments,,Khoản chi,payments,지불,Pagos,支払
guild,,Bang hội,公会,동업 조합,Clan,
enter_password,Please enter your password to login,XIn hãy nhập mật khẩu để đăng nhập,请输入您的密码登录,비밀번호를 입력해 주십시오,Por favor ingrese su contraseña para iniciar sesión,ログインするにはパスワードを入力してください
login,,đăng nhập,登录,로그인,Iniciar sesión,
no,No,Không,不,NO,No hay ninguna transacción todavia,番号
paid_on,Paid on,trả trên,已付款,지불,Pagado en,支払い済み
chain,,chuỗi,链,체인,Red de prueba,
action,,Hoạt động,行动,액션,Acción,
total_earnings,Total earnings,tổng thu nhập,总收入,전체 수익,Ganancias totales,総収入
wins,Wins,Số trận thắng,获胜,승리,Victorias,勝つ
losses,,Số trận thua,输,패배의 수,Derrotas,
joined,Joined,Đã tham gia,已加入,가입,Unido,参加しました
ago,,trước,前,~ 전에,atrás,
battle_overview,Battle Overview,tổng quan trận đấu,战斗概览,베틀 개요,Información general de batalla,バトルの概要
session_id,Session ID,mã phiên,会议 ID,세션 아이디,ID de sesión,セッションID
energy_brought,Initial Energy,Năng lượng ban đầu,初始能量,초기 에너지,Energia inicial,初期エネルギー
fee,Fee,Phí,费,회비,Comision estimada,手数料
rewards,Rewards,Phần thưởng,奖励,보상,Recompensas,報酬
current_energy,Current Energy,Năng lượng hiện tại,当前能量,현재 에너지,Energia actual,現在のエネルギー
