s,en,vi,Cn,kor,es,ja
your_monsters,Your monsters,Những quái thú của bạn,你的怪物,당신의 몬스타,Tus monstruos,あなたのモンスター
rip,R.I.P,R.I.P,R.I.P,R.I.P,R.I.P,RIP
exp,EXP,Kinh nghiệm,经验,EXP,Experiencia,EXP
bag,Bag,Túi đồ,包,백,Mochila,バッグ
need_unlock,Need to unlock,Cần mở khóa,需要解锁,잠금 해제 필요,Necesita desbloquear,ロックを解除する必要があります
open_on_mobile,Open on mobile,Trên thiết bị di động,在手机上打开,모바일에서 열기,Abierto en celular,モバイルで開く
open_on_mobile_lead,Scan with your phone's camera or QR code app to view,Quét mã bằng điện máy ảnh của điện thoại hoặc ứng dụng quét mã QR để thấy,使用手机的相机或二维码应用程序扫描以查看,휴대폰 카메라 또는 QR 코드 앱으로 스캔하여 볼 수 있습니다.,Escanea con la cámara de tu celular o con tu aplicación de código de QR para ver,スマートフォンのカメラまたはQRコードアプリでスキャンして表示します
mobile,Mobile,di động,手机,모바일에서 열기,Celular,モバイル
continue,Continue,tiếp tục,继续,모바일,Continuar,継続する
no_session_message_guild_member,You don't have any active sessions assigned. Please contact your guild owner to create a session for you.,Bạn không có phiên hoạt động nào được giao. Hãy liên hệ bang chủ để tạo phiên cho bạn,您没有分配任何活动会话。 请联系您的公会所有者为您创建会话。,할당된 활성 세션이 없습니다. 세션을 생성하려면 길드 소유자에게 문의하세요.,"No tenes ninguna sesion activa asignada. Por favor, contacta al dueño del clan para que te cree una sesion para vos.",アクティブなセッションが割り当てられていません。 ギルドの所有者に連絡して、セッションを作成してください。
monster_statistics,Monster Statistics,chỉ số quái,怪物统计,몬스타 통계,Estadísticas de los monstruos,モンスター統計
leaderboard_title,Global Ranking,bảng xếp hạng,全球排名,글로벌 랭킹,Ranking global,グローバルランキング
species,Species,loài,种类,종류,Especies,種族
player_statistics,Player Statistics,Chỉ số người chơi,玩家统计,플레이여 통계,Estadísticas de los jugadores,プレイヤー統計
leaderboard_hunters,Best Hunters,Thợ săn xuất sắc nhất,最佳猎人,베스트 헌터,Mejores cazadores,最高のハンター
leaderboard_trainners,Best Trainers,Huấn luyện viên xuất sắc nhất,最佳教练员,베스트 트레인너,Mejores entrenadores,最高のトレーナー
leaderboard_collectors,Best Collectors,Nhà thu thập giỏi nhất,最佳收藏家,베스트 콜랙터,Mejores recolectores,最高のコレクター
leaderboard_sellers,Best Sellers,Người bán hàng hạng nhất,最畅销,베스트 세일러,Mejores vendedores,ベストセラー
last,Last,Tồn tại,最后的,최근,Último,最後
days,Days,Ngày,天,일,Días,日
all_time,All Time,Toàn thời gian,整天,올 티임,Todo el tiempo,いつも
total_volume,Total Volume,Tổng số lượng,总容积,도달 볼륨,Volumen total,全容積
biggest_sale,Biggest Sale,Giao dịch lớn nhất,最大的销售,최대 세일,Mayor venta,最大のセール
nft_sold,Item Sold,Vật phẩm đã bán,出售物品,판매된 아이템,Item vendidos,販売アイテム
nft_sold_plural,Items Sold,Vật phẩm đã bán,出售物品,판매된 아이템,Items vendidos,販売アイテム
trader,Trader,Người giao dịch,交易员,상인,Comerciante,トレーダー
trader_plural,Traders,Người giao dịch,交易员,상인,Comerciantes,トレーダー
for_sale,For Sale,Đang treo bán,出售,포 세일,En venta,販売中
recently_sold,Recently Sold,Mới vừa được bán,最近售出,최근에 판매,Recientemente vendido,最近販売
sale_history,Sale History,Lịch sử giao dịch,Sale History,판매 내역,Historial de ventas,販売履歴
bought_history,Purchase History,Lịch sử mua,购买历史,구매 내역,Historial de compra,購入履歴
results,,kết quả,结果,결과,Resultados de búsqueda,
monster_owned_you,You own this monster,Bạn đang sở hữu quái vật này,这个怪物归你所有。,이 몬스타가 당신의 소유입니다,Este monstruo es propiedad tuya,このモンスターはあなたが所有しています。
bought,Bought,Đã mua,已买,구매함,Comprado,買った
level,Level,Cấp độ,等级,레벨,Nivel,レベル
perfection,Perfection,Độ hoàn hảo,完美率,완벽함,Perfección,完璧
sold_by,Sold By,Bán bởi,所售,판매자,Vendido por,販売元
just_bought,Just Bought,Mới vừa mua,刚买,최근 구매함,Recien comprado,買ったばかり
view,View,xem,视图,뷰,Vista,閲覧
no_result,"Sorry, no result found",Không tìm thấy kết quả,抱歉，没有找到结果,결과가 없습니다,"Disculpa, no encontramos ningun resultado",申し訳ありませんが、結果が見つかりません
no_result_lead,Please try adjusting your search or filter criteria,Xin hãy thay đổi tìm kiếm của bạn hoặc bộ lọc tiêu chuẩn của bạn,请尝试调整您的搜索或过滤条件,검색 또는 필터 기준을 조정해 보십시오.,"Por favor, ajusta el filtro de búsqueda o el criterio",検索またはフィルター条件を調整してみてください
block,Block,Chặn,拉黑,블록체인 메타버스,BLOQUEADA,ブロック
choose_monster,Choose a Monster,Chọn quái vật,选择怪物,몬스타를 고르십시오,Elegi un monstruo,モンスターを選ぶ
too_high_level,Your Monster level is too high for this battle. Max level gap allowed:,"Quái vật của bạn có cấp độ quá cao, vượt quá giới hạn khiêu chiến",你的怪物等级太高，不适合这场战斗。 允许的最大水平间隙,이 전투에서는 몬스터 레벨이 너무 높습니다. 허용되는 최대 레벨 간격:,Tu nivel de monstruo es demasiado alto para esta batalla. Máximo nivel permitido:,あなたのモンスターレベルはこの戦いには高すぎます。 許容される最大レベルギャップ：
start_battle,Battle Overview,,战斗概览,베틀 개요,Información general de batalla,バトルの概要
attack,Attack,Tấn công,攻击,공격,Ataque,攻撃
defense,Defense,Phòng thủ,防御,방어,Defensa,防衛
health,Health,Máu,健康,건강,Saludo,健康
special_attack,Sp. Atk,Đòn đánh đặc biệt,特殊攻击,특수 공격,Ataque especial,Sp。 アタック
special_defense,Sp. Def,Phòng thủ đòn đánh đặc biệt,特殊防御,특수 방어,Defensa especial,Sp。 防衛
speed,Speed,Tốc độ,速度,속도,Velocidad,スピード
kill_rate,Kill rate,Tỉ lệ giết,杀戮率,킬율,Tasa de muerte,キル率
kill_rate_info,"If a player's monster loses in battle, it may be killed (the player loses ownership of the NFT). The “Kill Rate” is the chance your monster will be killed in the battle.","Nếu một quái vật chết trong trận chiến, chúng có khả năng chết ( Bạn sẽ mất quyền sỡ hữu NFT đó). Tỉ lệ tử vong là tỉ lệ quái vật của bạn sẽ chết nếu thua trận",如果玩家的怪物在战斗中失败，它可能会被杀死（玩家失去 NFT 的所有权）。 “杀戮率”是你的怪物在战斗中被杀死的机会。,"플레이어의 몬스터가 전투에서 지면 죽을 수 있습니다(플레이어는 NFT의 소유권을 잃음). ""Killing Rate""는 전투에서 몬스터가 죽을 확률입니다.","Si un monstruo pierde la batalla (el jugador puede perder este NFT) La ""tasa de muerte"" es la posibilidad de tu monstruo a ser asesinado en batalla",プレイヤーのモンスターが戦闘で負けた場合、そのモンスターは殺される可能性があります（プレイヤーはNFTの所有権を失います）。 「殺害率」は、戦闘でモンスターが殺されるチャンスです。
insurance,Insurance,Bảo hiểm,保险,보험,Seguro,保険
back,Back,Quay lại,后退,돌아가기,Volver,戻る
begin,Begin,Bắt đầu,开始,시작하기,Comienzo,始める
maintenance_title,System under Maintenance,Hệ thống đang được bảo trì,系统维护中,유지 관리 중인 시스템,Sistema bajo mantenimiento,メンテナンス中のシステム
thank_you_joining_beta_access,Thank you for joining our Closed Beta program. Please agree with the conditions below.,Cảm ơn bạn vì đã tham gia chương trình Beta của chúng mình. Xin hãy đồng ý những điều kiện ở dưới,感谢您加入我们的封闭测试计划。 请同意我们的以下条件。,클로즈 베타 프로그램에 참여해주셔서 감사합니다. 아래의 조건에 동의해 주십시오.,"Muchas gracias por ingresar a nuestro programa de beta cerrado. Por favor, acepta a nuestros términos y condiciones abajo",クローズドベータプログラムにご参加いただきありがとうございます。以下の条件に同意してください。
the_hunt_is_on,The Hunt is ON!,Hãy bắt đầu chuyến săn,狩猎开启！,더헌트가 시작되었습니다!,La caza ha comenzado,ハントがオンになっています！
maintenance_game,Our system is under maintenance and the game will be unavailable during this time.,Hệ thống đang được bảo trì và trò chơi sẽ tạm thời không thể truy cập được trong thời gian này,我们的系统正在维护中，在此期间游戏将不可用。,우리 시스템은 점검 중이며 이 시간 동안 게임을 사용할 수 없습니다.,Nuestro sistema se encuentra bajo mantenimiento y el juego estara deshabilitado durante este periodo,システムはメンテナンス中であり、この期間中はゲームを利用できなくなります。
check_social_update,Please hang on tight and check out our social channels for more updates.,Xin hãy đợi và theo dõi các thông báo trên các kênh xã hội để cập nhật tin tức mới nhất.,请紧紧抓住并查看我们的社交渠道以获取更多更新。,잠시만 기다려주시고 더 많은 업데이트를 위해 소셜 채널을 확인해 주십시오,Por favor agarrate fuerte y estate atento a nuestras redes sociales para mas novedades,しばらくお待ちください。最新情報については、ソーシャルチャネルをご覧ください。
beta_open_metamask,"Please <metamaskDownload> install MetaMask </metamaskDownload> extension or access this page from <metamaskMobile> MetaMask mobile wallet </metamaskMobile>. Once installed, follow the popup instructions to login.","Vui lòng <metamaskDownload> cài đặt tiện ích mở rộng MetaMask </metamaskDownload> hoặc truy cập trang này từ <metamaskMobile> ví di động MetaMask </metamaskMobile>.  Sau khi cài đặt, hãy làm theo hướng dẫn để đăng nhập.",请 <metamaskDownload> 安装 MetaMask </metamaskDownload> 扩展或从 <metamaskMobile> MetaMask 移动钱包 </metamaskMobile> 访问此页面。 安装后，按照弹出说明登录。,<metamaskDownload> MetaMask </metamaskDownload> 확장 프로그램을 설치하거나 <metamaskMobile> MetaMask 모바일 지갑 </metamaskMobile>에서 이 페이지에 액세스하십시오.  설치가 완료되면 팝업 지침에 따라 로그인합니다.,"Por favor, instala metamask. La pagina a la que intenta ingresar requiere que descargue una billetera para metamask. Una vez instalado, siga las instrucciones para iniciar",<メタマスクダウンロード>メタマスク</ メタマスクダウンロード>拡張機能をインストールするか、<メタマスクモバイル>メタマスクモバイルウォレット</ メタマスクモバイル>からこのページにアクセスしてください。インストールしたら、ポップアップの指示に従ってログインします。
caught_today,Caught Today,Bắt hôm nay,今天抓到,오늘 잡힌,Atrapados hoy,今日キャッチ
free_roaming,Free Roaming,Miễn phí chuyển vùng,免费漫游,프리 로밍,Itinerancia gratis,フリーローミング
success_rate,Success Rate,Tỉ lệ thành công,成功率,성공률,Tasa de éxito,成功率
support_boost,Support Boost,Hỗ trợ tăng cường,支持提升,지원 부스트,Impulso de apoyo,ブーストをサポート
no_boost,No Boost,,没有升压,부스트 없음,Sin impulso,ブーストなし
improve_success_rate,Improve the Success Rate,Năng cao khả năng thành công,提高成功率,성공률 향상,Mejora tu tasa de éxito,成功率を向上させる
improve_success_rate_info,"You need a Monster with the correct support type to start catching. If the support Monster is a Genesis Species, it will further increase the success rate by 10% for GS1 and 20% for GS2.","Bạn cần một quái vật có hệ tương thích để tiến hành bắt quái vật. Nếu quái vật hỗ trợ thuộc dòng Genesis, thì tỉ lệ thành công sẽ được nâng lên 10% cho dòng GS1 và 20% cho GS2",您需要一个具有正确支持类型的怪物才能开始捕捉。 如果辅助怪物是创世种，则GS1的成功率进一步提高10%，GS2的成功率提高20%。,"잡기 시작하려면 올바른 지원 유형을 가진 몬스터가 필요합니다. 지원 몬스터가 제네시스 종족일 경우 GS1은 10%, GS2는 20%의 성공률을 추가로 높인다.","Necesitas un monstruo con el correcto impulso de apoyo para empezar a atraparlo. Si el impulso de apoyo es un monstruo genesis, puede incrementar tu tasa de exito entre 10% si es tipo 1 o 20% si es de tipo 2",キャッチを開始するには、正しいサポートタイプのモンスターが必要です。サポートモンスターがジェネシス種の場合、成功率はGS1で10％、GS2で20％さらに増加し​​ます。
catching_power,Catching Power,,捕捉力,캐치 파워,Poder de agarre,キャッチ力
message_modal_additional_support,"For additional support, please visit our <discordRef> Discord </discordRef> or <teleRef> Telegram </teleRef> channel.","For additional support, please visit our <discordRef> Discord </discordRef> or <teleRef> Telegram </teleRef> channel.",如需更多支持，请访问我们的 <discordRef> Discord </discordRef> 或 <teleRef> Telegram </teleRef> 频道。,"For additional support, please visit our <discordRef> Discord </discordRef> or <teleRef> Telegram </teleRef> channel.","Para soporte adicional, por favor visite nuestro canal de Discord o Telegram",追加のサポートについては、<discordRef> Discord </ discordRef>または<teleRef> Telegram </ teleRef>チャネルにアクセスしてください。
metamask_not_found,MetaMask not found,Không tìm thấy meta mask,未找到 小狐狸钱包,메타마스크를 찾을 수 없습니다,MetaMask no encontrado,メタマスクが見つかりません
metamask_not_found_intro,It appears we couldn't find a web3 connection to your MetaMask wallet. Follow the steps below to install MetaMask and gain access to BCM Hunt!,Có vẻ như chúng tôi không thể tìm thấy kết nối web3 với ví MetaMask của bạn.  Làm theo các bước dưới đây để cài đặt MetaMask và có quyền truy cập vào BCM Hunt!,我们似乎找不到与您的 小狐狸 钱包的 web3 连接。 按照以下步骤安装 小狐狸 并访问 BCM Hunt！,메타마스크 지갑에 대한 웹삼 연결을 찾을 수 없는 것 같습니다. 아래 단계에 따라 메타마스크를 설치하고 BCM 헌트에 액세스하세요!,Parece que no pudimos encontrar una conexión  web3  para tu billetera de metamask. Sigue las instrucciones de abajo para instalar metamask y obtener acceso a BCM Hunt!,メタマスクウォレットへのウェブ3接続が見つからなかったようです。以下の手順に従ってメタマスクをインストールし、BCMHuntにアクセスしてください。
install_now,Install Now,Tải ngay,现在安装,바로 설치,Instalar ahora,今すぐインストール
close,Close,đóng,关闭,닫기,Cerrado,閉じる
bridge_heading,Bridge,cầu nối,桥,브리지,Puente,橋
bridge_title,Send BCMC and Monsters across chains.,Gửi BCMC và quái vật thông qua các sàn giao dịch,跨链发送 BCMC 和怪物。,BCMC와 몬스터를 체인으로 보냅니다.,Enviar BCMC y NFT en cadena cruzada,BCMCとモンスターをチェーン間で送信します
coming_soon,Coming Soon...,Sắp ra mắt,即将推出...,Comming soon,Proximamente...,近日公開...
i_want_to_send,I want to send,Tôi muốn gửi,我要发送,보내고 싶습니다,Quiero enviar,送りたい
target,Target,Mục tiêu,目标,타켓,Objetivo,ターゲット
portal_native_convert,Convert <convertPercentageSelect /> to native chain's currency.,Convert <convertPercentageSelect /> to native chain's coin.,将 <convertPercentageSelect /> 转换为原生链的货币。,Convert <convertPercentageSelect /> to native chain's coin.,Convert <convertPercentageSelect /> to native chain's coin.,<パーセンテージ選択の変換 />をネイティブチェーンの通貨に変換します。
amount_info,Amount converted will be,Tổng lượng chuyển đổi,转换金额将为,변환된 금액은,La cantidad convertida será,換算額は
estimate_transation,Transaction Fee,Phí giao dịch,交易费,거래 수수료,Tarifa de transacción,取引手数料
total_amount_received,Total Amount Received,Tổng lượng nhận được,收到的总金额,총 수령액,Cantidad total recibida,受け取った合計金額
warning_info,"Depending on the condition of the target network, your funds might take up to 12 hours to be reflected in your account.",Tùy vào tình trạng của mạng lưới mục tiêu mà vốn của bạn sẽ cần lên tới 12 giờ để thể hiện trong tài khoản,根据目标网络的状况，您的资金最多可能需要 12 小时才能反映在您的账户中。,대상 네트워크의 상태에 따라 자금이 계정에 반영되는 데 최대 12시간이 소요될 수 있습니다.,"Dependiendo de la condición de la red, Tus fondos pueden demorar hasta 12 horas hasta ser reflejadas en tu cuenta",ターゲットネットワークの状態によっては、資金がアカウントに反映されるまでに最大12時間かかる場合があります。
from,From,Từ,从,에서,De,差出人
estimate_transaction_fee,Transaction Fee,Phí giao dịch,交易费,거래 수수료,Tarifa de transacción,取引料金
remove,Remove,Loại bỏ,消除,삭제,Eliminar,削除する
select_monsters,Select Monsters,Chọn quái vật,选择怪物,몬스타 선택하기,Seleccionar monstruos,モンスターを選択
success_info,Your BCMC has been successfully sent! Please wait for the funds to be reflected in your account.,BCMC của bạn đã gửi thành công. Vui lòng chờ cho số tiền hiển thị trong tài khoản,您的 BCMC 已成功发送！ 请等待资金反映在您的帐户中。,BCMC가 성공적으로 전송되었습니다! 자금이 계정에 반영될 때까지 기다리십시오.,¡Su BCMC se ha enviado correctamente! Espere un momento a que su fondo llegue a su cuenta.,BCMCが正常に送信されました。 資金がアカウントに反映されるまでお待ちください。
win_rate,Win Rate,tỉ lệ chiến thắng,赢率,승률,Tasa de victorias,勝率
owned,Owned,sở hữu,拥有,소유됨,Este monstruo ya es tuyo,所有
died,Died,chết,死亡,사망,Muerto,死亡しました
battle_power,Battle Power,lực chiến,战斗力,베틀 파워,Poder de batalla,バトルパワー
view_monster_only,View,,视图,,vista,意見
no_result_portfolio,You have no monsters,Bạn không có quái vật,你没有怪物,몬스터가 없습니다,No tenes monstruos,モンスターはいない
no_result_portfolio_lead,Find yourself a companion in <linkMarketplace> our marketplace. </linkMarketplace>,You have no monsters. Find a companion in <linkMarketplace> our marketplace. </linkMarketplace>,在您的市场<linkMarketplace> 中为自己找一个伙伴。 </link marketplace>,당신은 괴물이 없습니다. <linkMarketplace> 마켓플레이스에서 동반자를 찾으십시오. </link마켓플레이스>,"No tenes monstruos, Encuentra un compañero en nuestro marketplace",<リンクマーケットプレイス>マーケットプレイスで仲間を見つけましょう。 </ リンクマーケットプレイス>
no_result_shared_portfolio,The portfolio is empty,,,,,
no_result_shared_portfolio_lead,You can check out <linkMarketplace> our marketplace. </linkMarketplace>,,,,,
customize,Customize avatar,Chỉnh sửa hình đại diện,自定义头像,아바타 설정하기,Personaliza tu avatar,アバターをカスタマイズする
save,Save,Lưu,保存,저장하기,Guardar,保存する
side_view,Side View,Xem bên cạnh,侧面图,사이드 뷰,Vista lateral,側面図
back_view,Back View,Xem lại,后视图,백뷰,Vista posterior,背面図
front_view,Front View,,正视图,프런트뷰,Vista frontal,正面図
download_avatar,Download,Tải xuống,下载,다운로드,Descargar,ダウンロード
saving,Saving,Lưu,保存,저장중,Guardando,保存
err_only_alphanumeric,Only lowercase alphanumeric characters are accepted,chỉ có các kí tự thường là được chấp nhận,只接受小写字母数字字符。,소문자 영숫자만 사용할 수 있습니다.,Solo se aceptan caracteres alfanuméricos en minúsculas.,小文字の英数字のみが受け入れられます。
err_nickname_chosen,This nickname has already been taken,Biệt danh này đã có người sử dụng,此昵称已被占用。,이미 사용 중인 닉네임입니다.,Este nombre de usuario ya ha sido tomado,このニックネームはすでに使用されています。
error_nickname_invalid_length,Nicknames must be between 1 and 32 characters long,,,,,
profile,Profile,Hồ sơ,轮廓,프로필,Perfil,プロフィール
profile_intro,Update your profile details here,Tùy chỉnh hồ sơ của bạn tại đây,在此处更新您的个人资料详细信息。,여기에서 프로필 세부정보를 업데이트하세요,Actualiza detalles de tu perfil acá,ここでプロファイルの詳細を更新します。
edit,Edit,Chỉnh sửa,编辑,교정하기,Editar,編集
view_tier_list,View Tier List,,查看层级列表,티어 목록 보기,Ver lista de rangos,ティアリストを表示
nickname,Nickname,Biệt danh,昵称,닉네임,Nombre de usuario,ニックネーム
nickname_placeholder,Lowercase alphanumeric characters only.,,仅限小写字母数字字符。,소문자 영숫자 문자만 가능합니다.,Solo se aceptan caracteres alfanuméricos en minúsculas.,小文字の英数字のみ。
email_address,Email Address,Địa chỉ email,电子邮件地址,이메일 주소,Dirección de email,電子メールアドレス
wallet_address,Wallet Address,Địa chỉ ví,钱包地址,월렛 주소,Direccion de wallet,ウォレットアドレス
profile_success,Successfully updated profile info!,Cập nhật thông tin thành công!,已成功更新个人资料信息！,프로필 정보가 업데이트되었습니다!,La informacion de tu perfil ha sido actualizada de forma exitosa!,プロファイル情報が正常に更新されました。
pvp_heading,Player vs Player,Người đấu người,玩家对玩家,플레이어 대 플레이어,Jugador VS jugador,プレイヤー対プレイヤー
quest_heading,Quest,Nhiệm vụ,寻求,탐색,Búsqueda,クエスト
share_portfolio_heading,{{username}}'s Portfolio,{{username}}'s portfolio,{{username}} 的投资组合,님의 포트폴리오,Portafolio del usuario,{{ユーザー名}}のポートフォリオ
portfolio_info,View the player's statistics and Monsters here.,Xem chỉ số người chơi và quái thú tại đây.,在此处查看玩家的统计数据和怪物。,여기에서 플레이어의 통계와 몬스터를 확인하세요.,Vea las estadisticas de otros jugadores y monstruos acá,ここでプレイヤーの統計とモンスターを表示します。
add_monsters,Add monsters,Thêm quái vật,添加怪物,몬스타 추가하기,agregar monstruos,モンスターを追加する
add_items,Add items,Thêm vật phẩm,,,,
add,,,,추가하기,agregar monstruos,
claim_nft,Claim NFT,Nhận NFT,认领 NFT,NFT청구하기,Reclamar NFT,NFT を請求する
claim_nft_lead,"If you are staking from multiple chains, you have to switch chains to claim all of your NFTs back.","Nếu bạn staking trên nhiều nên tảng, bạn phải đổi về đúng nền tảng để nhận được tất cả các NFT lại",如果您从多个链中质押，则必须切换链以收回所有 NFT。,여러 체인에서 스테이킹하는 경우 모든 NFT를 다시 청구하려면 체인을 전환해야 합니다.,Si estas haciendo staking en múltiples redes tendras que cambiar a la red correspondiente para reclamar a todos tus NFTS y traerlos de vuelta a tu billetera,複数のチェーンから賭けている場合は、チェーンを切り替えてすべてのNFTを取り戻す必要があります。
monsters_staked,Monsters staked,Các quái thụ được stake,怪物赌注,스테이킹된 몬스터,Monstruos en staking,モンスターが賭けた
energy_earning,Energy Earned,Năng lương nhận được,能源收入,에너지 획득,Ganancias en energia,稼ぐエネルギー
avg_earning,Avg. Earning,Trung bình nhận được,平均收入,평균 획득,Promedio de ganancias,平均 収入を得る
total_rewards,Total Rewards,Tổng phần thưởng,总奖励,총 보상,Ganancias totales,トータルリワード
participants,Participants,Những người tham gia,参与者,참가자,participantes,参加者
nft_staked,NFTs Staked,NFT được stake,NFT 质押,NFT 스테이킹,NFT stakeados,NFTステーク
genesis_pool,Genesis's pool,Hồ Genesis,创世纪的游泳池,제네시스의 풀,Pool de Genesis,ジェネシスのプール
total_nft_staked,Total NFTs Staked,Tổng NFT được stake,质押的 NFT 总数,총 NFT 스테이킹,Total de NFT stakeados,合計NFTステーキング
councils,Councils,Những hội đồng,理事会,협의회,Consejos,評議会
staking_lead,Stake your monsters/BCMC to earn extra BCMC,Stake các quái thú của bạn hoặc BCMC để nhận được thêm BCMC,质押你的怪物/BCMC 以获得额外的 BCMC,몬스터/BCMC를 스테이킹하여 추가 BCMC 획득하기,Stakea tus monstruos/BCMC para obtener extra BCMC,モンスター/ BCMCを賭けて追加のBCMCを獲得する
current,,Hiện tại,,현재,actual,
wild_statistics,Wild's statistics,Chỉ số của quái thú hoang dã,怀尔德的统计,와일드의 통계,Estadísticas de los Salvajes,ワイルドの統計
view_more_arrow,View more →,Xem thêm,查看更多→,더 보기,Ver mas,もっと見る→
earning,Earning,Nhận được,收入,획득,Ganancias,収入を得る
highest_earning_councils,Highest earning councils,Những hội động hận được cao nhất,最高收入委员会,최고 획득 카운슬,Consejos con mayores ingresos,最高の収益を上げている評議会
genesis_statistics,Genesis's statistics,Chỉ só của quái thú Genesis,创世纪的统计数据,제네시스 통계,Estadísticas de los Genesis,ジェネシスの統計
how_does_staking_work,How does staking work?,Cách hoạt động của staking,质押如何运作？,스테이킹은 어떻게 운영됩니까?,¿Cómo funciona el staking?,ステーキングはどのように機能しますか？
councils_number,"Council 1,2, & 3","Hội đồng 1,2 và 3","理事会 1,2 & 3","카운슬1,2,3","Consejos 1,2 y 3",評議会1、2、3
highest_returns,Highest returns,Lợi nhuận cao nhất,最高回报,최고수익,Altos retornos,最高のリターン
withdrawn,Withdrawn,Đã rút về,撤消,출금,Retirar,引きこもった
available_for_withdraw,Available for withdraw,Có thể rút về,可提现,출금 가능,Disponible para retirar,引き出し可能
wild_pool,Wild's pool,,野生的游泳池,와일드의 풀,Pool de Salvajes,ワイルドのプール
tier_list_intro,Find out more about VIP Tier benefits here.,Tìm hiểu thềm về các lợi ích của VIP tại đây,在此处了解有关 VIP 等级福利的更多信息。,여기에서 VIP 등급 혜택에 대해 자세히 알아보기,Encuentra mas información acerca de los beneficios de los rangos VIP acá,VIP Tierのメリットについて詳しくは、こちらをご覧ください。
