find out mor,en,vi,Cn,kor,es,ja
open_beta_access_title,Feature Under Development,Tính năng đang được phát triển,正在开发的功能,개발 중인 기능,Función en desarrollo,開発中の機能
open_beta_access_details,This feature is under development. Access to the Multiverse will be available in the near future. Stay tuned!,Tính năng này đang được phát triển. Truy cập vào Multiverse sẽ khả dụng trong tương lai gần. Hãy kiên nhẫn nhé!,此功能正在开发中。 对多元宇宙的访问将在不久的将来提供。 敬请关注！,이 기능은 개발 중입니다. 메타버스에 대한 액세스는 가까운 시일 내에 사용할 수 있습니다. 계속 지켜봐 주세요!,"Esta funcion se encuentra bajo desarrollo. El acceso al multiverso estara disponible en el futuro cercano. Por favor, estate atento!",この機能は開発中です。 マルチバースへのアクセスは、近い将来利用可能になります。 乞うご期待！
skip_cool_down_txt,"To skip the cooldown, you will have to pay {{fees}} BCMC, would you like to proceed?","Để bỏ qua cooldown, bạn cần trả phí bằng BCMC, bạn có muốn tiếp tục?",要跳过冷却时间，您需要支付 {{费}} BCMC，您要继续吗？,"재사용 대기 중입니다. {{fee}} BCMC, 계속하시겠습니까?","Para saltear el periodo de enfriamiento, necesitarás pagar comisiones en BCMC, queres proceder?",クールダウンをスキップするには、{{料金}} BCMCを支払う必要があります。続行しますか？
pay_fee_bcmc,Pay {{fees}} BCMC,Trả phí bằng BCMC,支付 {{费}} BCMC,BCMC {{fees}} 지불하기,Pagar comisiones en BCMC,{{料金}} BCMCを支払う
strong,STRONG,Mạnh,强,강한,Fuerte,強い
weak,WEAK,Yếu,弱,약한,débil,弱い
not_enough_stamina,Not enough stamina,Không đủ stamina,体力不够,체력 부족합니다,No tienes suficiente stamina,スタミナが足りない
full_in,Full in,Hồi đủ sau,满载而归,꽉 찼습니다,Completo en,フルイン
run_out,Run out,Hết,用完,다 떨어졌습니다,Se han agotado,なくなる
match,MATCH,Trận đấu,比赛,매치,Coincide,マッチ
claimed,CLAIMED,Đã nhận,已领取,청구했다,Reclamado,主張
block,BLOCK,Khối,区块,블록,Bloque,ブロック
required_stamina,Required stamina,Lượng stamina yêu cầu,所需的耐力,필수체력,Stamina requerida,必要なスタミナ
how_to_lower_required_stamina,How to lower required stamina?,Làm sao để hạ mức yêu cầu stamina,如何降低所需的耐力？,어떻게 하면 필요한 체력을 낮출 수 있을까?,¿Cómo bajar la stamina requerida?,必要なスタミナを下げる方法は？
how_web_calculate,How Rewards are calculated,Phần thưởng được tính như thế nào,如何计算奖励,보상계산 방법,Como es calculada la recompensa,報酬の計算方法
find_out_more_on_wiki,Find out more,Tìm hiểu thêm,了解更多,자세히 알아 보기,Encuentra mas información,詳細をご覧ください
block_reward,Block reward,Phần thưởng của khối,块奖励,블록보상,Recompensa de Bloque,報酬をブロックする
difficulty,Difficulty,Độ khó,困难,어려움,Dificultad,難易度
tier_bonus,Tier bonus,Thưởng thêm của tier,等级奖金,보너스 티어,Bonus de rango,ティアボーナス
chain_match,Chain match,Khớp chuỗi,链式匹配,체인 매치,Coincidencia de Red,チェーンマッチ
rewards,,Phần thưởng,,보상,Recompensas,
reward_tips,Receive one of the following rewards,Hãy nhận một trong các phần thưởng sau,获得以下奖励之一,보상 팁,Recibe una de las siguientes recompensas:,次のいずれかの報酬を受け取る
energy_rewards,Energy reward,Phần thưởng Năng lượng,能量奖励,에너지 보상,Recompensa de energia,エネルギー報酬
reward_claimed,Reward claimed,Đã nhận thưởng,已领取奖励,보상 청구,Recompensa reclamada,報酬請求
reward_claimed_desc,"You have already successfully claimed this reward. Please find another monster to battle.","Bạn đã nhận thưởng từ con quái này rồi, hãy tìm quái khác để chiến đấu nhé.",您之前已经成功领取过奖励，请再找一个怪物战斗。,이전에 이미 성공적으로 보상을 요청했습니다. 다른 몬스터를 찾아 전투에 참여해 보십시오,"Ya haz reclamado exitosamente esta recompensa anteriormente, Por favor, selecciona otro monstruo para combatir",あなたはすでに以前に報酬を首尾よく主張しました、戦うために別のモンスターを見つけてください。
got_it,Got it!,Đã hiểu!,明白,알랐다,Entendido!,とった！
higher_tier_required,Higher VIP tier required,Yêu cầu tier VIP cao hơn,需要更高的 VIP 等级,VIP티어 필요,Mayor rango requerido,より高いVIP層が必要
higher_tier_required_desc,Looks like you need to reach a higher VIP tier to battle this monster. Click on view tiers for more info.,Có vẻ bạn cần đạt tier VIP cao hơn để đánh con quái này. Bấm vào để xem thêm thông tin về tier VIP,看起来你需要达到更高的 VIP 等级才能与这个怪物战斗。 单击查看层以获取更多信息。,이 몬스터와 싸우려면 더 높은 VIP 등급에 도달해야 하는 것 같습니다. 자세한 내용은 티어 보기를 클릭하십시오,Parece que necesitas un rango mas alto para pelear contra este monstruo. Clikea en la pestaña de vista de rangos para mayor informacion,このモンスターと戦うには、より高いVIPティアに到達する必要があるようです。 詳細については、ビューティアをクリックしてください。
done,Done,Xong,完毕,완료,Realizado,終わり
view_tier,View tiers,Xem tier,查看层级,티어 보기,Ver rangos,ティアを表示
not_enough_stamina_desc,This monster does not have enough stamina,Quái không đủ stamina,这个怪物没有足够的耐力,이 몬스타의 체력이 부족함,Este monstruo no tiene suficiente stamina,このモンスターは十分なスタミナを持っていません
out_of_time,This monster ran away,Quái đã xổng mất,这个怪物跑了,몬스타 도망,Este monstruo se ha escapado,この怪物は逃げた
out_of_time_desc,"This monster ran away, try another monster","Quái đã xổng mất rồi, hãy thử lại với con khác nhé",这个怪物跑了，试试另一个怪物,이 몬스타가 도망했습니다. 다른 몬스타를 골라 주십시오,"Este monstruo se ha escapado, por favor intenta con otro monstruo",このモンスターは逃げました、別のモンスターを試してください
how_to_calculate_stamina,How Stamina is calculated,Cách tính stamina,耐力是如何计算的,체력 계산 방법,Como la stamina es calculada,スタミナの計算方法
upgrade_tier_msg,Upgrade your tier to lower the Stamina requirement,Nâng tier VIP để giảm yêu cầu về stamina,升级您的等级以降低耐力要求,스타미나 요구 사항을 낮추려면 등급을 업그레이드하십시오,Aumenta tu rango para disminuir la cantidad de Stamina requerida,ティアをアップグレードしてスタミナ要件を下げる
tier_discount,Tier Discount,Giảm do tier,等级折扣,티어 디스카운트,Descuento de rango,ティア割引
convert_stamina,Recover Stamina,Hồi stamina,恢复体力,티어 할인,Recuperar Stamina,スタミナを回復する
monster_too_strong,Monster is too strong,Quái quá mạnh,怪物太强了,몬스타가 너무 쌔다,Monstruo demasiado fuerte,モンスターが強すぎる
convert_stamina_title,Convert Energy to Stamina,Đổi Năng lượng sang Stamina,将能量转化为耐力,에너지를 체력으로 변환,Convierte tu energia a Stamina,エネルギーをスタミナに変換する
convert_stamina_lead,Convert {{energy}} energy to recover full stamina for this monster,Dung năng lượng để hồi đầy stamina cho quái,转换 {{energy}} 能量以恢复此怪物的全部耐力,{{energy}} 에너지를 변환하여 이 몬스터의 전체 스태미나를 회복하십시오.,Convierte Stamina para recuperar la Stamina de este monstruo completamente,{{エネルギー}}エネルギーを変換して、このモンスターのスタミナを完全に回復します
convert_stamina_txt,Convert {{energy}} energy to recover full stamina for this monster,Dung năng lượng để hồi đầy stamina cho quái,转换 {{energy}} 能量以恢复此怪物的全部耐力,{{energy}} 에너지를 변환하여 이 몬스터의 전체 스태미나를 회복하십시오.,Convierte Stamina para recuperar la Stamina de este monstruo completamente,{エネルギー}}エネルギーを変換して、このモンスターのスタミナを完全に回復します
convert_x_energy,Convert {{energy}} Energy,Đổi năng lượng sang Stamina,转换 {{energy}} 能量,에너지를 스태미나로 변경하기,Convertir energia,{{エネルギー}}エネルギーを変換する
level_gap_title,The selected monster is too strong,Quái đã chọn quá mạnh,选择的怪物太强了,고른 몬스타가 너무 쌔다,El monstruo elegido es muy fuerte,選んだモンスターが強すぎる
level_gap_desc,Your selected monster is too strong for this opponent,Quái bạn chọn quá mạnh với con quái này,你选择的怪物对这个对手来说太强了,상대에 비해 고른 몬스타가 너무 쌔다,Tu monstruo elegido es muy fuerte para este oponente,あなたが選んだモンスターはこの対戦相手には強すぎる
owned,OWNED,Đã sở hữu,拥有,소유됨,Este monstruo ya es tuyo,所有
remaining,Remaining,Còn lại,其余的,남아 있습니다,Restantes,残り
same_chain,Same chain,Cùng chuỗi,同链,같은 체인,Misma red,同じチェーン
type_monster_required,type monster required,Cần hệ quái,需要类型怪物,필요한 몬스타의 종류,Tipo de monstruo requerido,タイプモンスターが必要
failed,FAILED!,Thất bại!,失败,실패,Falló!,失敗した！
captured,CAPTURED!!,Đã bắt được!,捕获！！,잡음,Capturado!,キャプチャー!!
monster_more_info_text,More info will show up here once you finish the game. Please go to portfolio to check it out.,Các thông tin khác sẽ hiện lên khi bạn hoàn thành. Hãy đi tới portfolio để kiểm tra,完成游戏后，更多信息将显示在此处。 请前往投资组合查看。,게임을 마치면 여기에 더 많은 정보가 표시됩니다. 포트폴리오로 이동하여 확인하십시오.,"Mas informacion será mostrada acá cuando finalice el juego. Por favor, dirígase a su portafolio para revisar.",ゲームが終了すると、詳細情報がここに表示されます。 ポートフォリオにアクセスして確認してください。
catch_tips,Try to raise your Catch Power or bring a Genesis monster to increase your chance of success.,Hãy tăng Sức mạnh bắt quái hoặc đem theo một con Genesis để tăng khả năng thành công,尝试提高你的捕捉力或带上一个创世纪怪物来增加你成功的机会。,캐치 파워를 높이거나 제네시스 몬스터를 데려와 성공 확률을 높이십시오.,Intente aumentar su poder de agarre o traerse un monstruo genesis para incrementar sus probabilidades de éxito,キャッチパワーを上げるか、ジェネシスモンスターを連れてきて、成功の可能性を高めてください。
battle_history,Battle History,Lịch sử đấu,战斗历史,베틀 역사,Historial de batalla,戦闘履歴
coming_soon,This feature is coming soon,Tính năng này sẽ được ra mắt trong thời gian tới,此功能即将推出,이 기능은 곧 제공될 예정입니다,Esta función vendrá pronto,この機能は近日公開予定です
result,Result,Kết quả,结果,결과,Resultados,結果
monster_preview,Monster Preview,Xem Quái,怪物预览,몬스타 시사,Vista previa del monstruo,モンスタープレビュー
your_bag_is_full,Your bag is full,Túi của bạn đã đầy,你的包已经满了,백 꽉 찼음,Tu mochila esta llena,あなたのバッグはいっぱいです
your_bag,Your bag,Túi của bạn,你的包,백,Tu mochila esta llena,あなたのバッグ
slots_used,slots used,Ô đã được sử dụng,使用的插槽,사용된 슬롯,Espacios usados,使用されるスロット
support_monster_required,Support monster required,Yêu cầu quái hỗ trợ,需要支持怪物,지원 몬스터 필요,Monstruo de apoyo requerido,サポートモンスターが必要
support_monster_desc,You need to have at least one support monster to catch this monster. Please head to the marketplace & start a new game session.,Bạn cần ít nhất 1 quái hỗ trợ để bắt con quái này. Hãy đi tới marketplace và bắt đầu một session mới,你需要至少有一个支持怪物才能抓住这个怪物。请前往市场并开始新的游戏会话。,이 몬스터를 잡기 위해서는 최소한 하나의 지원 몬스터가 필요합니다. 마켓플레이스로 이동하여 새 게임 세션을 시작하세요.,Necesitas tener al menos un monstruo de apoyo para atrapar a este monstruo. Por favor dirigete al mercado y empieza una nueva sesión del juego,このモンスターを捕まえるには、少なくとも1体のサポートモンスターが必要です。 マーケットプレイスに向かい、新しいゲームセッションを開始してください。
monster_caught,Monster caught,Quái đã bắt,抓到怪物,몬스타 잡음,Monstruo atrapado,モンスターを捕まえた
monster_caught_desc,You have already caught this monster and cannot catch it again.,"Bạn đã bắt con quái này, không thể bắt thêm nữa.",你已经抓到了这个怪物，不能再抓到它了。,당신은 이미 이 몬스터를 잡았고 다시 잡을 수 없습니다.,Ya haz capturado a este monstruo y no lo puedes capturar de nuevo,あなたはすでにこのモンスターを捕まえているので、二度と捕まえることはできません。
help,HELP,TRỢ GIÚP,救救,HELP,AYUDA,ヘルプ
appear_notif_msg,appears in the,vừa xuất hiện ở,刚刚出现在,에 막 등장했음,Un nuevo monstruo acaba de aparecer,に登場したばかり
left,LEFT,rời đi,剩下,나가기,Se ha ido,左
full_stamina,Full stamina,Đầy stamina,体力充沛,풀 스타미나,Stamina llena,フルスタミナ
stamina_tooltips,Stamina is required for battle,Cần stamina để đánh,战斗需要体力,스타미니 필요,Stamina es requerida para batallar,戦闘にはスタミナが必要です
energy,,năng lượng,,에너지,Energia,
energy_use_case,ENERGY can be topped up by $BCMC at a fixed rate or swapped into BCMC after a certain lock period,Năng lượng có thể đổi bằng BCMC ở một tỷ giá cố định hoặc để đổi thành BCMC sau một chu kỳ khóa,能量 可以通过 $BCMC 以固定利率充值，或者在一定的锁定期后用于兑换 BCMC。,에너지는 $BCMC에서 고정된 비율로 충전하거나 특정 잠금 기간 후에 BCMC로 스왑하는 데 사용할 수 있습니다.,La ENERGÍA puede ser recargada con BCMC a una tasa fija o se puede usar para cambiar a BCMC después de un cierto período de bloqueo,エネルギーは、固定レートで$ BCMCによって補充されるか、特定のロック期間後にBCMCにスワップするために使用される可能性があります。
transaction_error,Unexpected Error,Lỗi bất định,意外的错误,예상치 못한 에러,Error inesperado,予期しないエラー
transaction_error_lead,There is an unexpected error with your ticket. Please try again later.,Đã xảy ra lỗi bất định với vé vào này. Vui lòng thử lại sau,您的票证出现意外错误。请稍后再试。,티켓에 예기치 않은 오류가 있습니다. 나중에 다시 시도 해주십시오.,Ha ocurrido un error inesperado con tu ticket. Por favor intente nuevamente mas tarde,チケットに予期しないエラーがあります。 後でもう一度やり直してください。
pvp_accept_invitation_title,PvP Battle Challenge confirmation,Xác nhận thách đấu PvP,PvP战斗挑战确认,PvP 배틀 챌린지 확인,Jugador VS jugador (PvP) confirmación de desafio de batalla,PvPバトルチャレンジ確認
pvp_accept_invitation_desc,Respond to PvP Battle Challenge invitation,Phản hồi lời mời thách đấu PvP,响应 PvP 战斗挑战邀请,PvP 배틀 챌린지 초대에 응답,Responder a la invitacion de desafio de batalla PvP,PvPバトルチャレンジの招待状に返信する
battle_fee,Battle fee,Phí trận chiến,战斗费,전투비,Comision de batalla,バトルフィー
potential_reward,Potential reward,Phần thưởng có thể nhận,潜在回报,포텐셜 보상,Recompensa potencial,潜在的な報酬
cancel,,hủy,取消,취소하기,Cancelar,キャンセル
accept,,chấp nhận,接受,동의하기,Aceptar,承諾
pvp_search_confirm_title,Search players for PvP,Tìm kiếm Đối Thủ cho PvP,为 PvP 搜索玩家,PvP 플레이어 검색,Busqueda de jugadores para PvP,PvPのプレイヤーを検索する
pvp_search_confirm_desc,Searching for players for PvP requires energy,Việc tìm đối thủ PvP cần có năng lượng,PvP搜索玩家需要能量,PvP를 위해 플레이어를 검색하려면 에너지가 필요합니다.,Busqueda de jugadores para PvP requiere energia,PvPのプレイヤーを検索するにはエネルギーが必要です
pvp_send_request_confirmation_title,Challenge PvP battle confirmation,Xác nhận thách đấu PvP,挑战PvP战斗确认,챌린지 PvP 배틀 확인,Confirmacion de batalla de desafio PvP,チャレンジPvPバトル確認
pvp_send_request_confirmation_desc,Do you want to challenge this player for PvP Battle?,Bạn có muốn thách đấu PvP với người chơi này?,你想挑战这个玩家的 PvP 战斗吗,이 플레이어에게 PvP 전투에 도전하시겠습니까?,¿Quieres desafiar a este jugador a una batalla PvP?,このプレイヤーにPvPバトルで挑戦しますか
pvp_surrender_confirmation_title,Do you want to quit this battle?,Bạn muốn thoát trận chiến?,你想退出这场战斗吗？,이 전투를 종료하시겠습니까?,¿quieres salir de esta batalla?,この戦いをやめたいですか？
pvp_surrender_confirmation_desc,You will not receive EXP or Energy if you quit this battle,Bạn sẽ không nhận được kinh nghiệm hay năng lượng nếu thoát trận bây giờ,退出战斗将不会获得经验和能量,이 전투를 종료하면 경험치나 에너지를 받지 못합니다.,No recibiras experienca o energia si sales de esta batalla,この戦闘を終了した場合、経験値やエネルギーを受け取ることはありません
skip_battle_confirm_title,Do you want to skip to the result?,Bạn muốn đi ngay đến kết quả không,你想跳到结果吗？,결과로 건너뛰시겠습니까?,¿queres saltear el resultado de esta batalla?,結果にスキップしますか？
skip_battle_confirm_desc,A small fee will be charged,Sẽ mất một ít phí,将收取少量费用,소정의 수수료가 부과됩니다,Un pequeña comision sera añadida,少額の手数料がかかります
teleport_confirm_title,Teleport to,Dịch chuyển đến,传送到,로 텔레포트,Teletransportar hacia,にテレポートする
teleport_confirm_desc,"Teleporting requires {{fee}} energy, would you like to continue?","Dịch chuyển cần năng lượng, bạn có muốn tiếp tục không?",传送需要 {{费}} 能量，您要继续吗？,텔레포트에는 {{fee}}의 에너지가 필요합니다. 계속하시겠습니까?,Teletransportacion requiere una comision de energia.¿Deseas continuar?,テレポートには{{料金}}のエネルギーが必要ですが、続行しますか？
please_rotate_your_phone,Please rotate your phone,Hãy xoay điện thoại của bạn,请旋转你的手机,폰을 돌려주십시오,Por favor rote su teléfono,スマートフォンを回転させてください
we_only_support_landscape,We only support landscape mode at the moment.,Chúng tôi hiện tại chỉ hỗ trợ chế độ ngang,我们目前只支持横向模式。,현재 가로 모드만 지원합니다.,Solo estamos dando suporte al modo paisaje en este momento,現在、ランドスケープモードのみをサポートしています。
friendly_challenge_request,PvP Friendly challenge request,Yêu cầu thách đấu PvP giao hữu,PvP 友好挑战请求,PvP 친선 도전 요청,Solicitud de desafio PvP amistoso,PvPフレンドリーチャレンジリクエスト
challenge_request,PvP Challenge Request,Yêu cầu thách đấu PvP,PvP 挑战请求,PvP 도전 요청,Solicitud de desafio PvP,PvPチャレンジリクエスト
friendly_challenge_request_desc,Wants to challenge you to a friendly battle,Muốn đấu giao hữu với bạn,想在友好的战斗中挑战你,우호적인 전투에 도전하고 싶으신가요?,Quiero desafiarte en una batalla amistosa,友好的な戦いであなたに挑戦したい
challenge_request_desc,An opponent has challenged you to a PvP battle,Một đối thủ đã thách đấu PvP với bạn,一个对手向你发起了 PvP 战斗的挑战,상대방이 PvP 전투에 도전했습니다.,Un oponente acaba de desafiarte a una batalla PvP,対戦相手がPvPバトルに挑戦しました
player_information,Player information,Thông tin người chơi,球员信息,선수 정보,Información del jugador,プレイヤー情報
friendly_challenge,Request a friendly battle,Yêu cầu giao hữu,请求一场友好的战斗,친선전 요청,Solicita una solicitud de batalla amistosa,友好的な戦いをリクエストする
victorious,,Chiến thắng,,승리,Victorioso,勝利
defeat,defeated,Thất bại,击败,패배,Derrotado,敗北
pvp_battle_starting,PvP Battle,Trận đấu PvP,PvP战斗,PvP베틀,Batalla Jugador VS jugador,PvPバトル
accepted_your_challenge,Accepted your challenge,Chấp nhận thách đấu,接受你的挑战,당신의 도전을 수락했습니다,Desafio aceptado,あなたの挑戦を受け入れました
moving_to_battleground_in,Moving to Battleground in,Đang di chuyển tới chiến trường,搬到战场,에서 배틀그라운드로 이동,Moviendo el campo de batalla en,で戦場に移動
enter_battleground,Enter battleground,Vào chiến trường,进入战场,전장에 입장,Entrando al campo de batalla,戦場に入る
death_msg,Your deeds of valor will be remembered.,Hành động dũng cảm của bạn sẽ được ghi nhớ.,你的英勇事迹将被铭记。,당신의 용기 있는 행동이 기억될 것입니다.,Tus actos de valor seran recordados,あなたの勇気の行動は記憶されます。
level_up,Level up!,Thăng cấp!,升级！,레벨 업,Haz subido de nivel!,レベルアップ！
rewards_tips,Rewards are dropped randomly after each victory. Monsters from the same chain as you will have an increased drop rate.,Phần thưởng sẽ rơi ngẫu nhiên sau mỗi chiến thắng. Quái vật từ cùng một chuỗi với bạn sẽ có tăng tỷ lệ rơi.,每次胜利后都会随机掉落奖励。 与您来自同一链的怪物将增加掉落率。,보상은 승리할 때마다 무작위로 떨어집니다. 당신과 같은 체인의 몬스터는 드랍률이 증가합니다.,Recompensas son distribuidas de forma aleatoria en cada victoria. Monstruos de una misma red ya que habrá aumentado la tasa de caída,報酬は、勝利するたびにランダムにドロップされます。 あなたと同じチェーンのモンスターはドロップ率が高くなります。
required_stamina_tips,The amount of stamina required to battle,mẹo stamina,所需的耐力提示,스타미나 팁,Consejos de stamina requerida,必要なスタミナのヒント
remaining_time,Remaining time,Thời gian còn lại,剩余时间,남은 시간,Tiempo restante,残り時間
match_chain,Match chain,Cùng chuỗi,匹配链,매치 체인,Coincidencia de red,マッチチェーン
block_tips,Block TIPS,Tắt mẹo,阻止提示,블록 팁,Consejo de bloque,ブロックのヒント
transaction_error_desc,Please check your ticket status on the Multiverse page,Hãy kiểm tra trạng thái vé trên trang Multiverse,请在 Multiverse 页面查看您的门票状态,메타버스 페이지에서 티켓 상태를 확인하세요.,Por favor checkea el estado de tu ticket en nuestra pagina multiversal,マルチバースページでチケットのステータスを確認してください
you_are,You are,Bạn là,你是,당신은,Vos sos,あなたは
monster_dont_receive_exp_friendly,Monsters do not receive EXP after friendly battles,Quái sẽ không tăng kinh nghiệm sau các trận giao hữu,友好战斗后怪物不会获得经验,몬스터는 친선전 후 경험치를 받지 못합니다.,Monstruos no recibiran experiencia despues de peleas amistosas,友好的な戦闘の後、モンスターは経験値を受け取りません
player_in_battle,Player is in another battle,Người chơi đang ở trong một trận đánh khác,玩家正在另一场战斗中,플레이어가 다른 전투 중입니다.,Jugador esta en otra batalla,プレイヤーは別の戦いにいます
global_bonus,Global bonus,Bonus toàn cầu,全球红利,글로벌 보너스,Bonus global,グローバルボーナス
assign_key,Assign Key,Gán phím tắt,Assign Key,Assign Key,Assign Key,Assign Key
press_key_from_0_to_9_assign_emoticon,Press combination key SHIFT + NUM (from 0 to 9)\nto assign this emoticon,Bấm tổ hợp phím SHIFT + NUM (từ 0 đến 9)\nđể gán phím tắt cho emoticon này,Press key from 0 to 9\nto assign this emoticon,Press key from 0 to 9\nto assign this emoticon,Press key from 0 to 9\nto assign this emoticon,Press key from 0 to 9\nto assign this emoticon
next_round_in_x_seconds,Next round in {{count}} second,Next round in {{count}} second,Next round in {{count}} second,Next round in {{count}} second,Next round in {{count}} second,Next round in {{count}} second
next_round_in_x_seconds_plural,Next round in {{count}} seconds,Next round in {{count}} seconds,Next round in {{count}} seconds,Next round in {{count}} seconds,Next round in {{count}} seconds,Next round in {{count}} seconds
owner,Owner,Owner,Owner,Owner,Owner,Owner
challenge_accepted,Challenge accepted,,,,,